time	V(1)	V(2)	V(3)	V(4)	V(5)	V(6)	V(7)	V(8)
0.000000000000000e+000	4.018232e-011	8.036338e-011	1.606414e-010	3.211024e-010	6.424453e-010	1.283928e-009	4.255642e-009	9.970090e-001
3.999999975690116e-008	4.018232e-011	8.036338e-011	1.606414e-010	3.211024e-010	6.424453e-010	1.283928e-009	4.255642e-009	9.970090e-001
3.848863554138436e-006	4.018232e-011	8.036338e-011	1.606414e-010	3.211024e-010	6.424453e-010	1.283928e-009	4.255642e-009	9.970090e-001
4.070239659401796e-006	4.018232e-011	8.036338e-011	1.606414e-010	3.211024e-010	6.424453e-010	1.283928e-009	4.255644e-009	9.970090e-001
4.204727328320022e-006	4.018232e-011	8.036338e-011	1.606414e-010	3.211024e-010	6.424453e-010	1.283928e-009	4.255651e-009	9.970090e-001
4.338649134110172e-006	4.018232e-011	8.036338e-011	1.606414e-010	3.211024e-010	6.424453e-010	1.283928e-009	4.255675e-009	9.970090e-001
4.453536074353017e-006	4.018232e-011	8.036338e-011	1.606414e-010	3.211024e-010	6.424453e-010	1.283928e-009	4.255720e-009	9.970090e-001
4.559036119982867e-006	4.018232e-011	8.036338e-011	1.606414e-010	3.211024e-010	6.424453e-010	1.283928e-009	4.255785e-009	9.970090e-001
4.673927283651844e-006	4.018232e-011	8.036338e-011	1.606414e-010	3.211024e-010	6.424453e-010	1.283928e-009	4.255875e-009	9.970090e-001
4.800602579992304e-006	4.018232e-011	8.036338e-011	1.606414e-010	3.211024e-010	6.424453e-010	1.283928e-009	4.255981e-009	9.970090e-001
4.926973539774242e-006	4.018232e-011	8.036338e-011	1.606414e-010	3.211024e-010	6.424453e-010	1.283928e-009	4.256077e-009	9.970090e-001
5.064649079023222e-006	4.018232e-011	8.036338e-011	1.606414e-010	3.211024e-010	6.424453e-010	1.283928e-009	4.256157e-009	9.970090e-001
5.226570242438144e-006	4.018232e-011	8.036338e-011	1.606414e-010	3.211024e-010	6.424453e-010	1.283928e-009	4.256214e-009	9.970090e-001
5.385741313943655e-006	4.018232e-011	8.036338e-011	1.606414e-010	3.211024e-010	6.424453e-010	1.283928e-009	4.256235e-009	9.970090e-001
